ID,Platform,Project Name,Project ID,Version Number,Version ID,Dependency Name,Dependency Platform,Dependency Kind,Optional Dependency,Dependency Requirements,Dependency Project ID
8737,Dub,a4g,197,0.1.0,2,a4g:client,Dub,runtime,,*,
8738,Dub,a4g,197,0.1.0,2,a4g:server,Dub,runtime,,*,
8743,Dub,ae,199,1.0.0,6,openssl,Dub,runtime,,>=1.1.3+1.0.1g,493
8744,Dub,ae,199,1.0.1,7,openssl,Dub,runtime,,>=1.1.3+1.0.1g,493
8752,Dub,anchovy,203,0.2.4,21,anchovy:core,Dub,runtime,,~master,
8753,Dub,anchovy,203,0.2.4,21,anchovy:graphics,Dub,runtime,,~master,
8754,Dub,anchovy,203,0.2.4,21,anchovy:gui,Dub,runtime,,~master,
8755,Dub,anchovy,203,0.2.4,21,anchovy:utils,Dub,runtime,,~master,
8756,Dub,anchovy,203,0.3.0,22,anchovy:core,Dub,runtime,,~master,
8757,Dub,anchovy,203,0.3.0,22,anchovy:graphics,Dub,runtime,,~master,
8758,Dub,anchovy,203,0.3.0,22,anchovy:gui,Dub,runtime,,~master,
8759,Dub,anchovy,203,0.3.0,22,anchovy:utils,Dub,runtime,,~master,
8760,Dub,anchovy,203,0.4.0,23,anchovy:core,Dub,runtime,,~master,
8761,Dub,anchovy,203,0.4.0,23,anchovy:graphics,Dub,runtime,,~master,
8762,Dub,anchovy,203,0.4.0,23,anchovy:gui,Dub,runtime,,~master,
8763,Dub,anchovy,203,0.4.0,23,anchovy:utils,Dub,runtime,,~master,
8764,Dub,anchovy,203,0.5.0,24,anchovy:core,Dub,runtime,,~master,
8765,Dub,anchovy,203,0.5.0,24,anchovy:graphics,Dub,runtime,,~master,
8766,Dub,anchovy,203,0.5.0,24,anchovy:gui,Dub,runtime,,~master,
8767,Dub,anchovy,203,0.5.0,24,anchovy:utils,Dub,runtime,,~master,
8768,Dub,anchovy,203,0.6.0,25,anchovy:core,Dub,runtime,,~master,
8769,Dub,anchovy,203,0.6.0,25,anchovy:graphics,Dub,runtime,,~master,
8770,Dub,anchovy,203,0.6.0,25,anchovy:gui,Dub,runtime,,~master,
8771,Dub,anchovy,203,0.6.0,25,anchovy:utils,Dub,runtime,,~master,
8772,Dub,anchovy,203,0.6.1,26,derelict-ft,Dub,runtime,,~master,288
8773,Dub,anchovy,203,0.6.1,26,dlib,Dub,runtime,,==0.3.1,346
8774,Dub,anchovy,203,0.6.1,26,derelict-fi,Dub,runtime,,~master,287
8775,Dub,anchovy,203,0.6.1,26,derelict-glfw3,Dub,runtime,,==1.0.0,290
8776,Dub,anchovy,203,0.6.1,26,derelict-sdl2,Dub,runtime,,==1.2.0,297
8777,Dub,anchovy,203,0.6.1,26,sdlang-d,Dub,runtime,,0.8.4,523
8778,Dub,anchovy,203,0.6.1,26,derelict-gl3,Dub,runtime,,==1.0.0,289
8779,Dub,anchovy,203,0.6.2,27,derelict-ft,Dub,runtime,,~master,288
8780,Dub,anchovy,203,0.6.2,27,dlib,Dub,runtime,,==0.3.1,346
8781,Dub,anchovy,203,0.6.2,27,derelict-fi,Dub,runtime,,~master,287
8782,Dub,anchovy,203,0.6.2,27,derelict-glfw3,Dub,runtime,,==1.0.0,290
8785,Dub,anchovy,203,0.6.2,27,derelict-gl3,Dub,runtime,,==1.0.0,289
8784,Dub,anchovy,203,0.6.2,27,sdlang-d,Dub,runtime,,0.8.4,523
8783,Dub,anchovy,203,0.6.2,27,derelict-sdl2,Dub,runtime,,==1.2.0,297
8786,Dub,anchovy,203,0.7.0,28,derelict-ft,Dub,runtime,,>=1.0.0,288
8787,Dub,anchovy,203,0.7.0,28,dlib,Dub,runtime,,>=0.3.3,346
8788,Dub,anchovy,203,0.7.0,28,derelict-fi,Dub,runtime,,>=1.0.0,287
8789,Dub,anchovy,203,0.7.0,28,derelict-glfw3,Dub,runtime,,>=1.0.0,290
8791,Dub,anchovy,203,0.7.0,28,sdlang-d,Dub,runtime,,>=0.8.4,523
8792,Dub,anchovy,203,0.7.0,28,derelict-gl3,Dub,runtime,,>=1.0.0,289
8790,Dub,anchovy,203,0.7.0,28,derelict-sdl2,Dub,runtime,,>=1.2.0,297
8794,Dub,anchovy,203,0.7.1,29,dlib,Dub,runtime,,>=0.3.3,346
8793,Dub,anchovy,203,0.7.1,29,derelict-ft,Dub,runtime,,>=1.0.0,288
8795,Dub,anchovy,203,0.7.1,29,derelict-fi,Dub,runtime,,>=1.0.0,287
8796,Dub,anchovy,203,0.7.1,29,derelict-glfw3,Dub,runtime,,>=1.0.0,290
8797,Dub,anchovy,203,0.7.1,29,derelict-sdl2,Dub,runtime,,>=1.2.0,297
8798,Dub,anchovy,203,0.7.1,29,sdlang-d,Dub,runtime,,>=0.8.4,523
8799,Dub,anchovy,203,0.7.1,29,derelict-gl3,Dub,runtime,,>=1.0.0,289
8546823,Dub,anchovy,203,0.8.0,3350458,derelict-ft,Dub,runtime,,>=1.0.2,288
8546824,Dub,anchovy,203,0.8.0,3350458,dlib,Dub,runtime,,>=0.6.1,346
8546825,Dub,anchovy,203,0.8.0,3350458,derelict-fi,Dub,runtime,,==2.0.1,287
8546826,Dub,anchovy,203,0.8.0,3350458,derelict-glfw3,Dub,runtime,,>=1.1.0,290
8546827,Dub,anchovy,203,0.8.0,3350458,sdlang-d,Dub,runtime,,>=0.9.1,523
8546828,Dub,anchovy,203,0.8.0,3350458,derelict-gl3,Dub,runtime,,>=1.0.14,289
9760155,Dub,anchovy,203,0.8.1,3779698,derelict-ft,Dub,runtime,,>=1.0.2,288
9760156,Dub,anchovy,203,0.8.1,3779698,dlib,Dub,runtime,,>=0.6.1,346
9760157,Dub,anchovy,203,0.8.1,3779698,derelict-fi,Dub,runtime,,2.0.1,287
9760158,Dub,anchovy,203,0.8.1,3779698,derelict-glfw3,Dub,runtime,,>=1.1.0,290
9760159,Dub,anchovy,203,0.8.1,3779698,sdlang-d,Dub,runtime,,>=0.9.1,523
9760160,Dub,anchovy,203,0.8.1,3779698,derelict-gl3,Dub,runtime,,>=1.0.14,289
